model,condition,rate_hz,mean,std,count
CNN,N09_M07_F10,16000,0.9497,0.0357,3
CNN,N09_M07_F10,32000,0.9748,0.0196,3
CNN,N09_M07_F10,64000,0.9748,0.0196,3
CNN,N15_M01_F10,16000,0.7068,0.0374,3
CNN,N15_M01_F10,32000,0.7377,0.0193,3
CNN,N15_M01_F10,64000,0.7377,0.0193,3
CNN,N15_M07_F04,16000,0.7562,0.3665,3
CNN,N15_M07_F04,32000,0.7531,0.3636,3
CNN,N15_M07_F04,64000,0.7531,0.3636,3
CNN,N15_M07_F10,16000,0.8704,0.1225,3
CNN,N15_M07_F10,32000,0.8889,0.1211,3
CNN,N15_M07_F10,64000,0.8889,0.1211,3
PlainFNO,N15_M07_F10,16000,0.6296,0.0912,3
PlainFNO,N15_M07_F10,32000,0.7593,0.0668,3
PlainFNO,N15_M07_F10,64000,0.7623,0.0707,3
U-FNO,N09_M07_F10,16000,0.9843,0.0272,3
U-FNO,N09_M07_F10,32000,0.9906,0.0094,3
U-FNO,N09_M07_F10,64000,0.9906,0.0094,3
U-FNO,N15_M01_F10,16000,0.7963,0.016,3
U-FNO,N15_M01_F10,32000,0.8056,0.0245,3
U-FNO,N15_M01_F10,64000,0.8056,0.0245,3
U-FNO,N15_M07_F04,16000,0.8642,0.0527,3
U-FNO,N15_M07_F04,32000,0.8735,0.0595,3
U-FNO,N15_M07_F04,64000,0.8765,0.063,3
U-FNO,N15_M07_F10,16000,0.9414,0.0107,3
U-FNO,N15_M07_F10,32000,0.9691,0.0053,3
U-FNO,N15_M07_F10,64000,0.9691,0.0053,3
